prompt_ref,prompt_id,version,role,status
P00-v4.1,P00,v4.1,A/B/R,active
P01-v4.1,P01,v4.1,A/B/R,active
P02-v4.1,P02,v4.1,A/B/R,active
P03-v4.1,P03,v4.1,A/B/R,active
P04-v4.1,P04,v4.1,A/B/R,active
P05-v4.1,P05,v4.1,A/B/R,active
P06-v4.1,P06,v4.1,A/B/R,active
P10-v4.1,P10,v4.1,A/B/R,active
P11-v4.1,P11,v4.1,A/B/R,active
P20-v4.1,P20,v4.1,A/B/R,active
P21-v4.1,P21,v4.1,A/B/R,active
P22-v4.1,P22,v4.1,A/B/R,active
P23-v4.1,P23,v4.1,A/B/R,active
P30-v4.1,P30,v4.1,A/B/R,active
P40-v4.1,P40,v4.1,A/B/R,active
P41-v4.1,P41,v4.1,A/B/R,active
P42-v4.1,P42,v4.1,A/B/R,active
P50-v4.1,P50,v4.1,A/B/R,active
P60-v4.1,P60,v4.1,A/B/R,active
P70-v4.1,P70,v4.1,A/B/R,active
P80-v4.1,P80,v4.1,A/B/R,active
P90-v4.1,P90,v4.1,A/B/R,active
P99-v4.1,P99,v4.1,A/B/R,active
P10-A1-rework-v4.1,P10-A1,v4.1,A,active
